Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;300106;;;Kraftkabel Pe Och Pex Nexans;81,44;;;;
V;300120;;;Kraftkabel Brandsäker Nexans;86,09;;;;
V;300121;;;Kraftkabel EXQJ/FXQJ 2,5-16 Nexans;71,10;;;;
V;300122;;;Kraftkabel FXQJ EMC 2,5-35 Nexans;68,09;;;;
V;300124;;;Kraftkabel FXQJ EMC 50-300 Nexans;68,01;;;;
V;300127;;;AXQJ EASY 50-300 NEXANS;73,02;;;;
V;300132;;;Kraftkabel FXQ Easy Nexans;67,37;;;;
V;300134;;;Kraftkabel AXQ Infra Nexans;59,80;;;;
V;300138;;;MXQ Nexans;59,00;;;;
V;300140;;;AXQ  Nexans;56,00;;;;
V;300206;;;Kraftkabel PE Och PEX NKT;78,00;;;;
V;300208;;;RV-K NKT;39,80;;;;
V;300220;;;Kraftkabel RXQ NKT;74,36;;;;
V;300222;;;Kraftkabel EXQJ NKT;69,60;;;;
V;300224;;;Kraftkabel FXQJ 2,5-35 NKT;69,29;;;;
V;300226;;;Kraftkabel FXQJ 50-240 NKT;74,62;;;;
V;300228;;;Kraftkabel AXQJ 4-ledare NKT;72,46;;;;
V;300230;;;Kraftkabel AXQJ 3-ledare NKT;70,48;;;;
V;300232;;;Kraftkabel AXQJ Fullskärm NKT;65,47;;;;
V;300502;;;Kraftkabel Marin;64,13;;;;
V;300990;;;Solar Plus Kraftkabel RV;75,00;;;;
V;300991;;;Plus;80,00;;;;
V;300994;;;Solar Netto;50,00;;;;
V;300995;;;Solar Plus;75,00;;;;
V;301120;;;Styrkabel FQQR Nexans;58,00;;;;
V;301122;;;Styrkabel EQQR Nexans;58,00;;;;
V;301124;;;Styrkabel EQFR Nexans;60,99;;;;
V;301126;;;Styrkabel EQLR Nexans;60,99;;;;
V;301128;;;Styrkabel FQFR Nexans;57,80;;;;
