Produktområde;Artikelnr;RSK;Benämning;Produktgrupp;Enhet;Listpris;Ansvarskod;Datum;MinBestkvant
E;0000225;;ALSECURE/BFXI 1kV 3G1,5 T500;300120;M;312,50;A;20260201;500,00
E;0000230;;ALSECURE/BFXI 1kV 5G1,5;300120;M;502,28;A;20260201;1,00
E;0012260;;SE-N1XE-AR 4G16 1kV SVART;300106;M;167,72;A;20260201;1,00
E;0012265;;SE-N1XE-AR 4G16 1kV SVART T500;300106;M;153,23;A;20260201;500,00
E;0012270;;SE-N1XE-AR 4G16 1kV GUL;300106;M;171,50;A;20260201;1,00
E;0012275;;SE-N1XE-AR 4G16 1kV GUL T500;300106;M;156,69;A;20260201;500,00
E;0012280;;SE-N1XE-AR 5G16 1kV SVART;300106;M;210,21;A;20260201;1,00
E;0012285;;SE-N1XE-AR 5G16 1kV SVART T500;300106;M;192,05;A;20260201;500,00
E;0012290;;SE-N1XE-AR 5G16 1kV GUL;300106;M;214,53;A;20260201;1,00
E;0012295;;SE-N1XE-AR 5G16 1kV GUL T500;300106;M;196,00;A;20260201;500,00
E;0012300;;SE-N1XE-AR 4G25 1kV SVART;300106;M;245,47;A;20260201;1,00
E;0012305;;SE-N1XE-AR 4G25 1kV SVART T500;300106;M;224,26;A;20260201;500,00
E;0012310;;SE-N1XE-AS 4G50 1kV SVART;300106;M;281,85;A;20260201;1,00
E;0012315;;SE-N1XE-AS 4G50 1kV SVART T500;300106;M;257,51;A;20260201;500,00
E;0012320;;SE-N1XE-AS 4G95 1kV SVART;300106;M;521,21;A;20260201;1,00
E;0012325;;SE-N1XE-AS 4G95 1kV SVART T500;300106;M;476,19;A;20260201;500,00
E;0012330;;SE-N1XE-AS 4G150 1kV SV;300106;M;779,50;A;20260201;1,00
E;0012334;;SE-N1XE-AS 4G150 1kV SV T250;300106;M;712,16;A;20260201;250,00
E;0012335;;SE-N1XE-AS 4G150 1kV SV T500;300106;M;712,16;A;20260201;500,00
E;0012340;;SE-N1XE-AS 4G240 1kV SV;300106;M;1266,65;A;20260201;1,00
E;0012344;;SE-N1XE-AS 4G240 1kV SV T250;300106;M;1157,23;A;20260201;250,00
E;0012345;;SE-N1XE-AS 4G240 1kV SV T500;300106;M;1157,23;A;20260201;500,00
E;0012350;;SE-N1XE-AR 5G25 1kV SVART;300106;M;278,60;A;20260201;1,00
E;0012355;;SE-N1XE-AR 5G25 1kV SVART T500;300106;M;254,53;A;20260201;500,00
E;0012450;;SE-N1XE-U 4G10 1kV GUL;300106;M;426,60;A;20260201;1,00
E;0012455;;SE-N1XE-U 4G10 1kV GUL T500;300106;M;389,75;A;20260201;500,00
E;0012460;;SE-N1XE-R 4G16 1kV GUL;300106;M;695,37;A;20260201;1,00
E;0012465;;SE-N1XE-R 4G16 1kV GUL T500;300106;M;635,30;A;20260201;500,00
E;0012470;;SE-N1XE-U 5G10 1kV GUL;300106;M;527,52;A;20260201;1,00
E;0012475;;SE-N1XE-U 5G10 1kV GUL T500;300106;M;481,92;A;20260201;500,00
E;0012480;;SE-N1XE-R 5G16 1kV GUL;300106;M;841,44;A;20260201;1,00
E;0012485;;SE-N1XE-R 5G16 1kV GUL T500;300106;M;768,76;A;20260201;500,00
E;0012600;;SE-N1XE-AS 4G50 1kV GUL;300106;M;408,07;A;20260201;1,00
E;0012605;;SE-N1XE-AS 4G50 1kV GUL T500;300106;M;372,82;A;20260201;500,00
E;0012610;;SE-N1XE-AS 4G95 1kV GUL;300106;M;697,63;A;20260201;1,00
E;0012615;;SE-N1XE-AS 4G95 1kV GUL T500;300106;M;637,37;A;20260201;500,00
E;0012620;;SE-N1XE-AS 4G150 1kV GUL;300106;M;1044,29;A;20260201;1,00
E;0012625;;SE-N1XE-AS 4G150 1kV GUL T500;300106;M;954,08;A;20260201;500,00
E;0012630;;SE-N1XE-AS 4G240 1kV GUL;300106;M;1480,51;A;20260201;1,00
E;0012635;;SE-N1XE-AS 4G240 1kV GUL T500;300106;M;1352,62;A;20260201;500,00
E;0013750;;AXQ INFRA 4G16 1kV SVART;300134;M;129,78;A;20260201;1,00
E;0013755;;AXQ INFRA 4G16 1kV SVART T500;300134;M;117,66;A;20260201;500,00
E;0013765;;AXQ INFRA 5G16 1kV SVART T500;300134;M;145,28;A;20260201;500,00
E;0013785;;AXQ INFRA 5G25 1kV SVART T500;300134;M;198,35;A;20260201;500,00
E;0014000;;EXQJ 2X6/6 1kV SVART;300121;M;257,87;A;20260201;1,00
E;0014005;;EXQJ 2X6/6 1kV SVART T500;300121;M;234,36;A;20260201;500,00
E;0014100;;EXQJ 2x2,5/2,5 1kV SVART;300121;M;141,59;A;20260201;1,00
E;0014105;;EXQJ 2x2,5/2,5 1kV SVART T500;300121;M;128,66;A;20260201;500,00
E;0014110;;EXQJ 3X2,5/2,5 1kV SVART;300121;M;144,77;A;20260201;1,00
E;0014115;;EXQJ 3X2,5/2,5 1kV SVART T500;300121;M;131,57;A;20260201;500,00
E;0054000;;FXQJ EMC 3X2,5/2,5 1kV SV;300122;M;268,20;A;20260201;1,00
E;0054005;;FXQJ EMC 3X2,5/2,5 1kV SV T500;300122;M;243,61;A;20260201;500,00
E;0054010;;FXQJ EMC 3X6/6 1kV SV;300122;M;410,75;A;20260201;1,00
E;0054015;;FXQJ EMC 3X6/6 1kV SV T500;300122;M;373,01;A;20260201;500,00
E;0054020;;FXQJ EMC 3X10/10 1kV SV;300122;M;603,16;A;20260201;1,00
E;0054025;;FXQJ EMC 3X10/10 1kV SV T500;300122;M;547,84;A;20260201;500,00
E;0054030;;FXQJ EMC 3X16/16 1kV SV;300122;M;631,81;A;20260201;1,00
E;0054035;;FXQJ EMC 3X16/16 1kV SV T500;300122;M;573,77;A;20260201;500,00
E;0054040;;FXQJ EMC 3X25/16 1kV SV;300122;M;948,23;A;20260201;1,00
E;0054045;;FXQJ EMC 3X25/16 1kV SV T500;300122;M;861,25;A;20260201;500,00
E;0054050;;FXQJ EMC 3X35/16 1kV SV;300122;M;1236,66;A;20260201;1,00
E;0054055;;FXQJ EMC 3X35/16 1kV SV T500;300122;M;1123,12;A;20260201;500,00
E;0054140;;FXQJ EMC 4x2,5/2,5 1kV SV;300122;M;299,21;A;20260201;1,00
E;0054145;;FXQJ EMC 4x2,5/2,5 1kV SV T500;300122;M;271,72;A;20260201;500,00
E;0054150;;FXQJ EMC 4x6/6 1kV SV;300122;M;495,79;A;20260201;1,00
E;0054155;;FXQJ EMC 4x6/6 1kV SV T500;300122;M;450,29;A;20260201;500,00
E;0054160;;FXQJ EMC 4x10/10 1kV SV;300122;M;768,51;A;20260201;1,00
E;0054165;;FXQJ EMC 4x10/10 1kV SV T500;300122;M;698,03;A;20260201;500,00
E;0054170;;FXQJ EMC 4X16/16 1kV SV;300122;M;875,01;A;20260201;1,00
E;0054175;;FXQJ EMC 4X16/16 1kV SV T500;300122;M;794,70;A;20260201;500,00
E;0054180;;FXQJ EMC 4X25/16 1kV SV;300122;M;1156,30;A;20260201;1,00
E;0054185;;FXQJ EMC 4X25/16 1kV SV T500;300122;M;1050,21;A;20260201;500,00
E;0054190;;FXQJ EMC 4X35/16 1kV SV;300122;M;1610,37;A;20260201;1,00
E;0054195;;FXQJ EMC 4X35/16 1kV SV T500;300122;M;1462,61;A;20260201;500,00
E;0054305;;FXQ EASY 3G1,5 1kV SVART PW500;300132;M;62,39;A;20260201;500,00
E;0054325;;FXQ EASY 5G1,5 1kV SVART T500;300132;M;93,91;A;20260201;500,00
E;0054328;;FXQ EASY 5G1,5 1kV SVART PW300;300132;M;93,91;A;20260201;300,00
E;0054335;;FXQ EASY 3G2,5 1kV SVART T500;300132;M;89,14;A;20260201;500,00
E;0054338;;FXQ EASY 3G2,5 1kV SVART PW350;300132;M;89,14;A;20260201;350,00
E;0054354;;FXQ EASY 5G2,5 1kV SVART PW250;300132;M;136,73;A;20260201;250,00
E;0054365;;FXQ EASY 3G6 1kV SVART T500;300132;M;179,06;A;20260201;500,00
E;0054375;;FXQ EASY 4G6 1kV SVART T500;300132;M;220,42;A;20260201;500,00
E;0054405;;FXQ EASY 4G10 1kV SVART T500;300132;M;354,89;A;20260201;500,00
E;0054415;;FXQ EASY 5G10 1kV SVART T500;300132;M;435,61;A;20260201;500,00
E;0054425;;FXQ EASY 4G16 1kV SVART T500;300132;M;561,76;A;20260201;500,00
E;0054435;;FXQ EASY 5G16 1kV SVART T500;300132;M;691,77;A;20260201;500,00
E;0055005;;ALSECURE PLUS 2X1,5/1,5 1kV;300120;M;550,62;A;20260201;500,00
E;0055010;;ALSECURE PLUS 2X2,5/2,5 1kV;300120;M;807,36;A;20260201;1,00
E;0055015;;ALSECURE PLUS 2X2,5/2,5 1kV;300120;M;734,09;A;20260201;500,00
E;0055050;;ALSECURE PLUS 3X1,5/1,5 1kV;300120;M;773,40;A;20260201;1,00
E;0055055;;ALSECURE PLUS 3X1,5/1,5 1kV;300120;M;703,21;A;20260201;500,00
E;0055060;;ALSECURE PLUS 3X2,5/2,5 1kV;300120;M;1009,13;A;20260201;1,00
E;0055065;;ALSECURE PLUS 3X2,5/2,5 1kV;300120;M;917,48;A;20260201;500,00
E;0055115;;ALSECURE PLUS 4X2,5/2,5 1kV;300120;M;695,61;A;20260201;500,00
E;0055450;;ALSECURE PLUS 4X6/6 1kV;300120;M;957,82;A;20260201;1,00
E;0055455;;ALSECURE PLUS 4X6/6 1kV T500;300120;M;870,83;A;20260201;500,00
E;0055460;;ALSECURE PLUS 4X10/10 1kV;300120;M;1486,22;A;20260201;1,00
E;0055465;;ALSECURE PLUS 4X10/10 1kV T500;300120;M;1351,35;A;20260201;500,00
E;0055470;;ALSECURE PLUS 4X16/16 1kV;300120;M;2122,05;A;20260201;1,00
E;0055475;;ALSECURE PLUS 4X16/16 1kV T500;300120;M;1929,49;A;20260201;500,00
E;0055480;;ALSECURE PLUS 4X25/16 1kV;300120;M;2984,22;A;20260201;1,00
E;0055485;;ALSECURE PLUS 4X25/16 1kV T500;300120;M;2713,20;A;20260201;500,00
E;0055490;;ALSECURE PLUS 4X35/16 1kV;300120;M;3844,89;A;20260201;1,00
E;0055495;;ALSECURE PLUS 4X35/16 1kV T500;300120;M;3495,70;A;20260201;500,00
E;0055500;;ALSECURE PLUS 4X50/25 1kV;300120;M;4953,92;A;20260201;1,00
E;0055505;;ALSECURE PLUS 4X50/25 1kV T500;300120;M;4504,38;A;20260201;500,00
E;0055510;;ALSECURE PLUS 4X70/35 1kV;300120;M;7371,47;A;20260201;1,00
E;0055515;;ALSECURE PLUS 4X70/35 1kV T500;300120;M;6702,55;A;20260201;500,00
E;0055520;;ALSECURE PLUS 4X95/50 1kV;300120;M;10267,02;A;20260201;1,00
E;0055525;;ALSECURE PLUS 4X95/50 1kV T500;300120;M;9335,35;A;20260201;500,00
E;0055530;;ALSECURE PLUS 4X120/70 1kV;300120;M;12418,58;A;20260201;1,00
E;0055535;;ALSECURE PLUS 4X120/70 1kV;300120;M;11290,73;A;20260201;500,00
E;0055540;;ALSECURE PLUS 4X150/70 1kV;300120;M;14889,65;A;20260201;1,00
E;0055545;;ALSECURE PLUS 4X150/70 1kV;300120;M;13537,37;A;20260201;500,00
E;0055550;;ALSECURE PLUS 4X185/95 1kV;300120;M;19456,45;A;20260201;1,00
E;0055555;;ALSECURE PLUS 4X185/95 1kV;300120;M;17689,42;A;20260201;500,00
E;0055560;;ALSECURE PLUS 4X240/120 1kV;300120;M;25780,39;A;20260201;1,00
E;0055565;;ALSECURE PLUS 4X240/120 1kV;300120;M;23440,96;A;20260201;500,00
E;0110300;;EQLR EASY 7X1,5 750V LG;301126;M;181,19;A;20260201;1,00
E;0110305;;EQLR EASY 7X1,5 750V LG T500;301126;M;164,56;A;20260201;500,00
E;0110310;;EQLR EASY 14X1,5 750V LG;301126;M;285,07;A;20260201;1,00
E;0110315;;EQLR EASY 14X1,5 750V LG T500;301126;M;258,92;A;20260201;500,00
E;0110320;;EQLR EASY 19X1,5 750V LG;301126;M;463,88;A;20260201;1,00
E;0110325;;EQLR EASY 19X1,5 750V LG T500;301126;M;421,34;A;20260201;500,00
E;0110330;;EQLR EASY 27X1,5 750V LG;301126;M;597,83;A;20260201;1,00
