Nummer,Artikelnummer,Text,Enhetskod,Antal
7,0445707,"EXQ EASY 3G1,5 300/500V X75",M,1
7,Kopl,Kopling / Fästmatrial,ST,1
7,0437372,"FQ 1,5 BLÅ DCA R100",M,1
7,1438248,KOPPL DOSA U56 VIT KLICKL TOMIMT34128,ST,1
7,1402580,FLEXRÖR 16MM,M,1
7,1822141,EXXACT RAM 1F PRIMO VIT,ST,1
7,1820296,EXXACT VÄGGUTT 2V J VIT SNABB,ST,1
7,1820121,EXXACT STRÖMST TRAPP/1P VIT,ST,1
7,1820116,EXXACT STRÖMST KRON VIT,ST,1
7,1822342,EXXACT RAM 2F AVTAGB PRIMO VIT,ST,1
7,1821094,EXXACT V-UT 2V JORD UTVIP44 PV,ST,1
7,1400310,SKARVMUFF EPRL 16,ST,1
7,1422242,APPARATDOSA 13/26 U.TILLBEHÖR,ST,1
7,1820302,VÄGGUTTAG UTV 2-VÄGS JORD VIT,ST,1
7,1377709,"RELÄ 2-POL,13A,MESH,BLUETOOTH",ST,1
7,1377701,UNIVERSALDIMMER BLUETOOTH LEDDIM-01-A,ST,1
7,1377732,BATTERIBACKUP ADAPTER DOS-PRODBAT-01-A,ST,1
7,1420186,APPARATDOSA 26-39MM 4 STUDSARIMT80253,ST,1
7,1422040,SPIS-/KOPPLINGSDOSA 13/26,ST,1
7,1377703,KRONDIMMER BLUETOOTH LED,,1
7,1820276,EXXACT VÄGGUTTAGSINSAT 1V J VIT,ST,1
7,1820722,IMPULSFJÄDER,ST,1
7,2106502,MCS110 DVÄRGBRYTARE QUICK,ST,1
7,1500136,CLIPS TC 7-10 100/PAK,FRP,1
7,9999999,Egen artikel,ST,1
7,Laddbox,Zaptec laddbox,ST,1
7,2106000,HUVUDBRYTARE 3-POL 40A M,ST,1
7,2106506,"DVÄRGBRYTARE C-KAR 16A 1-POL 6KA, QC",ST,1
7,2163820,"JFB 25A 4-POL TYP A 30MA , QC",ST,1
7,1820292,VÄGGUTTAG UTV 1-VÄGS JORD VIT,ST,1
7,Laddbalans,Lastbalansering Sense (zaptec),ST,1
7,7466702,SKYDDSKÅPA SPOT-GUARD GLES,ST,1
7,1420079,RENOVERINGSDOSA DIAMETER 74MM,ST,1
7,1416742,"VP-RÖR 16MM 320N HF,3M 102/BUNT",M,1
7,1820193,LAMPUTTAG DCL TAK INF VIT,ST,1
7,7984810,LED-DRIVER 10W BLUETOOTH,ST,1
7,1835070,VÄGGUTTAG AQUA STARK 1-V,ST,1
7,1420184,APPARATDOSA 26-39MM 2 STUDSARIMT80251,ST,1
7,1820275,EXXACT V-UTT 1V J KOMPL VIT,ST,1
7,1377702,"CONTROLLER RELÄ,0/1-10V BT",ST,1
7,1820307,VÄGGUTTAG UTV 4-VÄGS JORD VIT,ST,1
7,2011052,DIAZEDSÄKR.ECO GL/GG 20A IFÖ,ST,1
7,9302792,BADRUMSFLÄKT INTELLIVENT P VIT,st,1
7,1420484,DOSLOCK KOPPLINGSDOSA SKRUV,ST,1
7,7476994,"DOWNL 6P 8W 515LM 2,2-4K VIT",FRP,1
7,1169634,MINIKANAL 12X20 BT PVC R9003,ST,1
7,1835007,VRIDSTRÖMST AQ-S 16A 2P PV,ST,1
7,1402581,FLEXRÖR 20MM,M,1
7,0347222,RQ Pure 6 Svart R100m,MTR,1
7,0445727,"EXQ EASY 5G1,5 300/500V X50",M,1
7,1422130,LOCK KOPPL-DOSA SKRUV,ST,1
7,1424706,TAKDOSA 39MM BLÅ,ST,1
7,1821477,EXXACT HÖRNBOX M 3-VU BP VIT,ST,1
7,2108587,KDN363A 3-POL 12MOD FASSKENOR,ST,1
7,3164301,SÄKERHETSBRYTARE SA 316 D,ST,1
7,Ladd7m,Laddkabel 20A 7m,ST,1
7,M,,,1
7,1377721,"TRYCKKNAPP TRÅDLÖS,VIT,EXXACT",ST,1
7,1413700,FLEXRÖR 16MM IFLOW RPP R100,M,1
7,1416743,"VP-RÖR 20MM 320N HF,3M 102/BUNT",M,1
7,1424300,TÄCKLOCK TED-TK,ST,1
7,1504163,SKRUVCLIPS SEC TCS14-18V 1/PAK,FRP,1
7,1822343,EXXACT RAM 3F AVT PRIMO VIT,ST,1
7,1820009,VÄGGUT 2-V J UTV IP44 SNA ANTR,ST,1
7,1835021,BRYTARE AQUA STARK TRAPP,ST,1
7,2130000,PERSONSKYDDSBR 3P+N C16A 30MA,ST,1
7,Laddhåll,Kabelhållare typ2,ST,1
7,0030990,*N1XV-R 5G6(*8) K7=PLOCKA 500M FRÅN(*5),M,1
7,0461501,"EQLQ EASY 3G1,5 450/750V R50",M,1
7,1422460,DOSLOCK APP-DOSA SKRUV,ST,1
7,1820202,LAMPUTTG DCL VÄGG INF VIT,ST,1
7,2163749,"PSA 10A C-KAR 6KA A 30MA, 1POL + N",ST,1
7,8581181,TERMOSTAT SW,ST,1
7,1476114,"FÖRSKRUVNING PERFECT M25X1,5",ST,1
7,1820253,STRÖMST EXX UTV TRAPP/1P VIT,ST,1
7,4901993,C6 U/UTP UTOMHUS PE B30519C-U6-07BL-B305,M,1
7,7470544,DOWNL CORE SMART 45° VIT 3000K,ST,1
7,7474441,DL GYRO GO! SIXPACK 3000K VIT,FP,1
7,0445751,"EXQ EASY 5G2,5 300/500V R50",M,1
7,1377706,KRONRELÄ 2X16A MESH BLUETOOTH,ST,1
7,1420485,DOSLOCK KOPPLINGSDOSA SNÄPP,ST,1
7,1422315,KOPPLINGSSTYCKE,ST,1
7,1426105,APP.DOSA MULTI 45NYA MODELLEN,ST,1
7,1820294,EXXACT VÄGGUTT 2V OJ VIT,ST,1
7,1822151,RAM 1-FACK ANTEXXACT PRIMO,ST,1
7,2000260,PASSDEL PK 525,ST,1
7,2108561,FASSKENA 3-FAS 9MOD GAFF,ST,1
7,2163660,CDA425R JFB 4-P A 25A/30M JORDFELSBRYTARE,ST,1
7,3164300,SÄK.BRYT DRAG.AVL 216 DV,ST,1
7,0437392,"FQ 1,5 GRÖNGUL DCA R100",M,1
7,1422150,LOCK KOPPL-DOSA M.UTL SKRUV,ST,1
7,1437885,KOPPL DOSA M PL 6MM 130X130,ST,1
7,1458071,FÖRSKRUVNING POLY ISO 25,ST,1
7,1820002,VÄGGUTTAG 2-V JORDAT ANTRACITEXXACT PRIMO,ST,1
7,1820701,EXXACT KLO KIT STRÖMST+UTT,ST,1
7,1822116,EXXACT STRÖMST KRON KOMPL VIT,ST,1
7,2000250,PASSDEL PK 520,ST,1
