Nummer,Artikelnummer,Text,Enhetskod,Antal
6,M,,,1
6,1438248,KOPPL DOSA U56 VIT KLICKL TOMIMT34128,ST,1
6,1377701,UNIVERSALDIMMER BLUETOOTH LEDDIM-01-A,ST,1
6,1946847,12X10     FKR VATETTE KOPPLINGRAK VA 1130,ST,1
6,1822141,EXXACT RAM 1F PRIMO VIT,ST,1
6,1820302,VÄGGUTTAG UTV 2-VÄGS JORD VIT,ST,1
6,1820296,EXXACT VÄGGUTT 2V J VIT SNABB,ST,1
6,8546955,15 KULVENTIL VATETTE M VREDFKR RAK VA 1130 CU-CU,ST,1
6,3811406,RÖRKLAMMER DUBBEL 12/15 MM SNÄPPLOCK KROM FP14005,ST,1
6,FM,Fästmaterial,,1
6,1947548,15        FKR VATETTE KOPPLINGVINKEL VA 1139,ST,1
6,1946087,VATETTE DUBBELMUTTER V6 15DY15XDY15 FKR.,ST,1
6,1946649,12XG15    FKR VATETTE HALV-          KOPPLING VA 1,ST,1
6,1946730,12        FKR VATETTE KOPPLINGRAK VA 1130,ST,1
6,2106502,MCS110 DVÄRGBRYTARE QUICK,ST,1
6,1947530,12        FKR VATETTE KOPPLINGVINKEL VA 1139,ST,1
6,1752405,15X1.0 KOPPARRÖR RAKT L=2.5EN1057 R290,M,1
6,1440908,ANSLUTNINGSKLÄMMA 3POL ÖPPNI,ST,1
6,1822342,EXXACT RAM 2F AVTAGB PRIMO VIT,ST,1
6,1948249,15 FKR VATETTE KOPPLING T-RÖRVA 1150,ST,1
6,3811405,RÖRKLAMMER DUBBEL 12/15/16 MM SNÄPPLOCK VIT  FP140,ST,1
6,1752408,"22X1,0 KOPPARRÖR RAKT L=2.5MEN1057 R290",M,1
6,1820121,EXXACT STRÖMST TRAPP/1P VIT,ST,1
6,3811408,RÖRKLAMMER ENKEL  12/15 MM SNÄPPLOCK KROM FP14105,ST,1
6,1440909,KOPPLINGSKLÄMMA 5POL ÖPPN.BAROBS PRIS/ST  FÖRP. (2,ST,1
6,2106000,HUVUDBRYTARE 3-POL 40A M,ST,1
6,2832032,75X45GR PP BÖJNORDIC. PIPELIFE,ST,1
6,1948231,12 FKR VATETTE KOPPLING T-RÖRVA 1150,ST,1
6,1377703,KRONDIMMER BLUETOOTH LED,,1
6,1377702,"CONTROLLER RELÄ,0/1-10V BT",ST,1
6,1940576,22XG20 VATETTE-KOPPLING RAKUTV GG VA 1136,ST,1
6,1946748,15        FKR VATETTE KOPPLINGRAK VA 1130,ST,1
6,1947670,15X12     FKR VATETTE KOPPLINGVINKEL VA 1139,ST,1
6,1402580,FLEXRÖR 16MM,M,1
6,1873816,16X2.0-2.2 KOPPLINGS-SET FÖRKRVATETTE PLAST,ST,1
6,1440907,ANSLUTNINGSKLÄMMA 2POL ÖPPNI,ST,1
6,1767627,22 A-PRESS CU BÖJ 90GR TYP V2 MUFF,ST,1
6,1820292,VÄGGUTTAG UTV 1-VÄGS JORD VIT,ST,1
6,0445702,"EXQ EASY 3G1,5 300/500V R100",M,1
6,1820116,EXXACT STRÖMST KRON VIT,ST,1
6,1882700,LK VÄGGBOCKSTÖD GRIP V2,ST,1
6,2832031,50X45GR PP BÖJNORDIC. PIPELIFE,ST,1
6,1945187,15X12 VATETTE-FÖRMINSKN.SETVA 1215,ST,1
6,1820722,IMPULSFJÄDER,ST,1
6,1438249,KOPPL DOSA U56 VIT TOMIMT34076,,1
6,2316114,40X90 VINKEL *FP VULK* PP VITMED GUMMITÄTNING,ST,1
6,1876608,PRESSANSL.KOPPL. G15/AX16LK SYSTEMS,ST,1
6,1986132,G25XG20  METALL-BUSSNING,,1
6,1986090,G20XG15  METALL-BUSSNING,ST,1
6,3811407,RÖRKLAMMER ENKEL  12/15 MM SNÄPPLOCK VIT  FP14100,ST,1
6,2832117,75 PP DUBBELMUFFNORDIC. PIPELIFE,ST,1
6,1420485,DOSLOCK KOPPLINGSDOSA SNÄPP,ST,1
6,0445601,"EXQ-PURE 3G1,5 R50",MTR,1
6,1945640,VATETTE PLANADAPTER 15 (G1/2)PLANÄNDA MED O-RINGST,ST,1
6,1377732,BATTERIBACKUP ADAPTER DOS-PRODBAT-01-A,ST,1
6,1940147,15 VATETTE-KOPPLING RAK VA1130,ST,1
6,1946880,15X10     FKR VATETTE KOPPLINGRAK VA 1130,ST,1
6,7113522,PURUS ODEN GOLVBRUNN AV PLAST75 MM SIDOUTLOPP,ST,1
6,4806737,EVOSENSE 0-28°CEVOSENSE TERMOSTAT 0-28°C M28,ST,1
6,1945971,15        VATETTE PLUGGVA 1219,ST,1
6,1940162,22 VATETTE-KOPPLING RAK VA1130,ST,1
6,2832033,110X45GR PP BÖJNORDIC. PIPELIFE,ST,1
6,1946896,15X12     FKR VATETTE KOPPLINGRAK VA 1130,ST,1
6,8564669,12X1 HALVHÅRDA KOPPARRÖR FKRL=2750 MM,ST,1
6,2910343,"FJÄDERPL VERT 2,5MM2 4ANSL",ST,1
6,1822121,EXXACT STRÖMST TRAPP KOMPL VIT,ST,1
6,1820276,EXXACT VÄGGUTTAGSINSAT 1V J VIT,ST,1
6,1941442,15 VATETTE-KOPPLING VINKELVA 1139,ST,1
6,2163660,CDA425R JFB 4-P A 25A/30M JORDFELSBRYTARE,ST,1
6,1873802,16X2.0-2.2 KOPPL.SET VATETTE P,ST,1
6,1940519,15XG15 VATETTE-KOPPLING RAKUTV GG VA 1136,ST,1
6,0461101,EXLQ XTRA 3G1.5 R50(*1),M,1
6,1945757,15        VATETTE-PROVTRYCK-NINGSPROPP VA 1218,ST,1
6,1985233,G 15    METALL-6-KANTNIPPEL,ST,1
6,1438400,KOPPLINGSDOSA IP55 U.PLINT,ST,1
6,1876600,RAK ÖVERG. UNI/CU AX16X15LK SYSTEMS,ST,1
6,8546954,12 KULVENTIL VATETTE M VREDFKR RAK VA 1130 CU-CU,ST,1
6,2832118,110 PP DUBBELMUFF,,1
6,1882335,LK UNIRÖR PE-X X16/25 RIR50M,ST,1
6,2054878,VATETTE BOCKFIXTUR V6FÖR VÄGGENOMFÖRINGSSYSTEM V6,ST,1
6,1942846,15 VATETTE-T-KOPPLING VA 1150,ST,1
6,2163820,"JFB 25A 4-POL TYP A 30MA , QC",ST,1
6,2106546,"DVÄRGBRYTARE C-KAR 16A 3-POL 6KA, QC",ST,1
6,1985258,G 20    METALL-6-KANTNIPPEL,,1
6,4464822,15     LOCK MED PACKNING,ST,1
6,1767619,22 A-PRESS CU BÖJ 90GR TYP V1 MUFF,ST,1
6,1940584,28XG25 VATETTE-KOPPLING RAKUTV GG VA 1136,ST,1
6,1420186,APPARATDOSA 26-39MM 4 STUDSARIMT80253,ST,1
6,0461301,"EQLQ TUBE PURE 3G1,5 R50",MTR,1
6,1426105,APP.DOSA MULTI 45NYA MODELLEN,ST,1
6,1169634,MINIKANAL 12X20 BT PVC R9003,ST,1
6,1946656,15XG15    FKR VATETTE HALV-          KOPPLING VA 1,ST,1
6,1377721,"TRYCKKNAPP TRÅDLÖS,VIT,EXXACT",ST,1
6,1941467,22 VATETTE-KOPPLING VINKELVA 1139,ST,1
6,1874194,LK PAL A16/25 RIR50M,ST,1
6,8564350,12X1 HALVHÅRDA KOPPARRÖR FKRL=2000 MM,ST,1
6,3106241,45/32-40 GUMMINIPPEL FP 85049VIOLETT,ST,1
6,8546975,15 KULVENTIL VATETTE  M VREDFKR VINKEL VA 1139 CU-,ST,1
6,1767603,22 A-PRESS CU MUFF TYP V,ST,1
6,1400310,SKARVMUFF EPRL 16,ST,1
